nomProduit;prixKgOuPiece;famille;origine;description;url
Cebette;1.3;Aromate;France;"Qu'est-ce qu'une cébette ?
La cébette, aussi appelée « l’oignon cébette », est une plante herbacée du Midi similaire à la ciboule et utilisée pour ses tiges riches en arômes. Considérée par beaucoup comme de la grosse ciboulette, elle se caractérise néanmoins par un goût et un parfum bien plus marqués que cette dernière.

Sur les étals, la cébette est régulièrement confondue avec l’oignon nouveau, alors même qu'il s'agit d'une variante très différente. En effet, cette plante se distingue grâce à son bulbe sous-développé, qui a pris une forme allongée au point de se confondre avec sa tige. À l'inverse, l’oignon nouveau prend bien l'aspect d'une petite boule au fil de sa croissance.

Quelle est la saison des cébettes et où les acheter ?
Consommable au printemps, en été et à l'automne (de mai à octobre), cette plante aromatique n'est malheureusement pas facile à trouver dans le commerce. Mais alors, où acheter des cébettes ? La plupart du temps, vous devrez vous déplacer sur le marché ou chez les maraîchers pour pouvoir vous en procurer, car les grandes surfaces font rarement la différence entre elle et l’oignon nouveau.

Comment cuisiner les cébettes ?
Traditionnellement, ce sont surtout les tiges de la cébette qui sont utilisées en cuisine, de par leur qualité d’herbes aromatiques, au même titre que la ciboulette ou l'échalote. Parfaites pour une poêlée de légumes, les cébettes peuvent aussi relever le goût de plats asiatiques ou encore d'une omelette. Dans d’autres cas, son bulbe peut également se cuisiner, comme c’est le cas dans la salade niçoise, où il se déguste cru et tranché en fines lamelles.

Dans certaines régions, les cébettes sont aussi cuisinées comme des légumes d'accompagnement, en étant préparées et poêlées de la même façon que ces derniers.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Cebette94e3_lgll1w.png
Celeri branche;1.1;Legume;Italie;"Quelle partie du céleri-branche se mange? Livraison celeri branche pour le découvrir. 

Le céleri ou ache des marais ou encore persil des marais, est une plante herbacée bisannuelle qui se cultive comme plante potagère pour ses feuilles et sa racine tubérisée consommées comme légume.

Originaire du bassin méditerranéen, le céleri branche se consomme déjà dans L’Odyssée d’Homère. Ensuite, pendant des siècles, le céleri se présente sous la forme d’un bouquet aux tiges frêles et sert d’aromate. La plante telle qu’on la connaît aujourd’hui naquit au XVIIe siècle, en Italie. Depuis, c’est un légume d’hiver incontournable.

Bienfaits:

Très riche en eau, comportant moins de glucides que la moyenne des légumes, le céleri branche est faiblement calorique. Ce légume contient également moins de fibres que la moyenne des légumes. Il fournit une quantité notable de potassium. Il est source de vitamine B9 et riche en vitamine K.

De plus, le céleri branche renferme plusieurs antioxydants comme de la lutéine, du bêtacarotène, des flavonoïdes… Ces antioxydants ont diverses propriétés : certains sont anti-inflammatoires, d’autres sont bénéfiques à la santé des yeux ou de l’épiderme.

Conservation et dégustation:

Pour la conservation de livraison céleri branche, roulez les feuilles du céleri dans des morceaux de papier essuie-tout humides avant de les mettre au réfrigérateur. Ainsi, elles restent bien fraiches. Ensuite, placez le reste du céleri emballé dans le bac à légumes. Dans la mesure où il est constitué de 93% d’eau, le céleri branche doit être blanchi pour pouvoir se congeler sans cristalliser.

Nous vous conseillons de le manger cru, les tiges se dégustent en salade ou en amuse-bouche. Vous pouvez aussi faire des recettes cuites, dans un soupe ou ajoutez aux légumes du pot-au-feu.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Celeri-branche94e3_zt9yb0.png
Cerfeuil;0.6;Aromate;Belgique;"Le cerfeuil est une herbacée aromatique au goût légèrement anisé. Facile à cultiver, découvrez comment le semer, le planter, l'entretenir et le récolter.

";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Cerfeuil0f1c_rrve68.png
Cerise;9.00;Fruit rouge;Espagne;"Livraison cerise à domicile? La cerise est un fruit très attendu à la fois pour son côté sucré et subtile en fonction de la variété. Nous proposons en fonction de nos arrivages nos belles cerises d’exception françaises.

NTB Primeurs propose de la cerise BURLAT. C’est le fruit de saison du printemps par excellence. Ajoutez les à votre panier de fruits de saison.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685188035/Sans-titre-1694e3_iyg0nc.png
Champignon;3.00;Legume;Espagne;"Découvrir le champignon géant
C’est Jean de la Quintinie, agronome français, qui mit au point la culture des champignons de couche pour le potager du roi Louis XIV à Versailles. Aujourd’hui on cultive un certain nombre d’espèces.

Retrouvez toutes les informations, recettes et promotions sur les champignons.

 

Le plus connu étant le champignon de Paris, cultivé depuis deux siècles. Les champignons de couche ont l’avantage, en plus d’être délicieux, d’être disponibles tout au long de l’année.

 

 

Comment le consommer ? 
 

Ce très gros champignon de Paris, grâce à sa taille, peut facilement être farci une fois son pied ôté. On peut aussi le couper en lamelles pour en faire de délicieuses poêlées avec un peu d’ail et du persil ou des pousses de soja, des poivrons, du maïs.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Champignon94e3_lrnfc7.png
Chou blanc;1.5;Legume;Hollande;"Découvrir le chou atlas
Le chou atlas est une variété d’origine asiatique assez originale car il est plat ! Ses feuilles sont très fines au goût légèrement sucré. 

 

Il est très consommé au Japon où on le prépare de multiples manières. La salade ""Sengiri"", qui signifie ""coupé en mille morceaux"" est l’un des plats les plus populaires du pays. N’hésitez pas à le découvrir, vous verrez il est vraiment excellent !

 

 

Comment le consommer ? 
 

Il a un petit goût sucré et ses feuilles sont croquantes à souhait ! Il se consomme idéalement râpé en salade, mélangé ou non à d’autres crudités, à de la scarole ou à de l’iceberg par exemple.

 

Il peut aussi ajouter un peu de fraîcheur à vos sandwichs avec du fromage frais, du saumon fumé ou du jambon cru. Pour le cuisiner il suffit de le découper en fines lamelles.

 

Il accompagne très bien les viandes et les poissons, frit à la poêle avec d’autres légumes. Il est aussi délicieux préparé en rouleaux de printemps.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Chou-blanc94e3_ytxtqv.png
Citron jaune ;1.5;Fruit;Espagne;"Présentation

La livraison de citron jaune pour une cure détox?

Le citron jaune est un fruit originaire d’Asie, aimé pour son acidité mais aussi ses nombreux bienfaits pour la santé. En France, on estime la consommation à 2,5 kilos par an par personne. Les principaux pays producteurs avec lesquels nous travaillons sont l’Espagne et l’Argentine, le Brésil et le Mexique.

Vertus

La livraison de citron jaune à domicile est importante car c’est un excellent stimulant pour le système immunitaire permettant de soigner de nombreux maux.
Riche en vitamine C, ses propriétés antibactériennes et antivirales ont été mondialement reconnues car elles combattent la fatigue notamment et protègent nos cellules du stress oxydatif. En effet, il est important de préciser que la vitamine C régule le métabolisme, ce n’est pas une vitamine stimulante comme on a pu laisser le croire.
Conservation et dégustation

Composé à 90% d’eau, ce fruit hypocalorique se consomme généralement pressé en jus ou en limonade. 
Congelez directement le jus de citron dans le bac à glaçons pour avoir de l’avance.
La peau du citron quant à elle peut être consommée en zeste ( à prélever avec un zesteur ou un économe) afin de parfumer une sauce ou dans une salade verte au citron jaune. La peau du citron est donc utile dans de nombreuses recettes.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Citron94e3_pie6na.png
Citron vert;3.00;Fruit;Bresil;"Une livraison de citron vert pour votre mojito de dernière minute ?

Le citron vert (de son vrai nom le lime) est un fruit exotique apprécié pour sa chair juteuse et acide. Originaire d’Asie, il est aujourd’hui principalement produit en Amérique Latine, notamment au Brésil ou au Mexique principaux importateurs mondiaux avec lesquels room service paris travaille.

Vertus

Les bienfaits du citron vert pour l’organisme sont nombreux notamment dans les cas de diabète ou d’obésité.
Il permet aussi de conserver un joli teint tout en apportant un plein d’énergie tout au long d’une journée.
Ce fruit exotique est un excellent antioxydant très peu calorique que l’on peut consommer sans modération.
 

Conservation et consommation

Pour la conservation, le citron vert peut être placé dans le bac à légumes du réfrigérateur trois mois.
Dans une corbeille de fruits au sec le citron vert tient trois semaines à un mois.
Le citron vert remplace le vinaigre pour vos plats en sauce, en salade, avec du poisson ou pour accompagner vos fruits de mer.
La livraison de citron vert est idéale pour préparer des boissons fraîches et peu caloriques, comme le mojito avec de la menthe fraîche livrée par NTB Primeurs par exemple. Il se mélange très bien avec le fruit de la passion notamment pour une boisson apéritive.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685189031/AR00044_ro3s3c.jpg
Estragon;0.4;Aromate;Belgique;"Quel est le goût de l’estragon? L’estragon en livraison à domicile pour ressentir sa saveur et ses bienfaits. 

L’estragon est une espèce de plante aromatique vivace et persistante de la famille des Astéracées.  On la retrouve dans la plupart des pays d’Eurasie et d’Amérique du Nord. De nos jours, on apprécie ses feuilles en France. Sa texture unique est très appréciée. Ses racines particulières lui valent sa dénomination d’« herbe du dragon ». Autrefois, on utilisait l’estragon selon les croyances populaires contre les morsures de serpent. L’estragon est désormais un aromate qu’on utilise dans la cuisine pour son parfum âpre et épicé. L’estragon se considère comme une fine herbe trouvant sa place dans le bouquet garni.

L’estragon est un allié médicinal riche en antioxydant. Il est très riche en vitamine K favorisant ainsi une bonne coagulation sanguine. On lui reconnait aussi des vertus digestives permettant de soulager les fortes crampes d’estomac. C’est un diurétique naturel efficace contre les douleurs intestinales.

Utilisation: 

Son goût anisé rappelant le fenouil est un excellent condiment pour le poisson ou la volaille. L’estragon étant disponible toute l’année, il se révèle aussi très utile pour apporter une touche fraîche et poivrée dans les sauces. Par exemple, NTB Primeurs vous conseille de l’inclure dans la sauce bolognaise. Testez l’estragon en livraison à domicile, c’est l’approuver. ( Attention, il faut toujours couper l’estragon frais, ne jamais l’hacher avec qu’il conserve l’intégralité de ses saveurs.)";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Estragon94e3_megoxx.png
Fenouil;1.6;Legume;Italie;"Comment se consomme le fenouil? La livraison de fenouil pour découvrir comment prépare le fenouil. 

Originaire du bassin méditerranéen, le fenouil se cultive sur tous les continents. Néanmoins, le fenouil doux se cultive en Toscane depuis la fin du Moyen Âge. Popularisé par Catherine de Médicis, c’est l’un des légumes que les italiens préfèrent.

Le fenouil est disponible toute l’année mais se déguste en primeur pendant les mois de juillet à octobre.

Vertus

Très bonne source d’antioxydants le fenouil n’a pas son pareil pour lutter contre le stress oxydatif et le vieillissement prématuré.                     Le fenouil est une mine de vitamines (B, C et E en particulier)  et de minéraux (fer, potassium, calcium et magnésium) ce qui renforce le système immunitaire. Le fenouil a des propriétés antibactériennes et anti-inflammatoires reconnues.

Enfin, Il a des propriétés digestives en luttant notamment contre l’aérophagie et les maux d’estomac.

Conservation et dégustation

Le fenouil livré se conserve une semaine dans le bac à légumes du réfrigérateur. Égouttez bien le fenouil afin de le faire dégorger puis placez le dans un contenant ou un sac adapté au congélateur (pas plus d’un mois au congélateur sans quoi, il perdrait son goût)

Comment prépare le fenouil? Nous vous conseillons de le consommer après avoir ôté les feuilles extérieures du bulbe (souvent coriaces) et l’avoir rincé sous l’eau. Le fenouil se déguste cru, en lanières à tremper dans une sauce lors d’un apéritif anisé. Il se consomme aussi émincé pour composer une salade croquante. Il se mange aussi cuit, à la vapeur, au four, sauté, sauté à la poêle.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Fenouil94e3_w3e2lj.png
Feuille de chene;1.1;Legume;France;"Où manger une bonne salade ? Dans votre cuisine, avec la salade en livraison feuille de chêne.

La feuille de chêne est un type de laitue qui ressemble à des bouquets vert brillant ou bordeaux rouge. Elle est arrondie avec des feuilles de 10-15 cm de long qui rappellent celles des chênes. En effet, notamment par leur forme qui, une fois taillés, renaissent rapidement.

Très peu calorique, c’est une excellente salade rafraichissante pour les entrées et apéritifs. La feuille de chêne est croquante, avec un goût légèrement sucré. On peut la mélanger à d’autres légumes comme de la carotte botte. Cependant, il est classique de retrouver la feuille de chêne en brasserie traditionnelle.  En accompagnement du plat de résistance ou en entrée avec le foie gras. Cela permet de réaliser de plats de jolis effets esthétiques.

Bienfaits:

La feuille de chêne est une salade que nous recommandons aussi dans les régimes hypocaloriques, compte tenu de sa faible teneur en calories.

De plus, étant une plante à feuilles larges avec une teneur importante en fibres et en eau, elle augmente le sentiment de satiété. Pour cette raison, elle s’utilise comme collation ou, au début d’un repas, pour réduire l’appétit. Ainsi, vous consommez moins de calories. En tant qu’aliment à index glycémique bas nous vous recommandons de l’intégrer dans les régimes amaigrissants.

Le potassium contenu dans la laitue feuille de chêne est un excellent allié dans le maintien du système cardiovasculaire, car il aide à contrôler le rythme cardiaque, la fonctionnalité des artères et des veines et à réduire la pression artérielle. Cette salade en livraison possède également d’excellentes propriétés diurétiques, réduisant la charge de travail des reins et de la vessie et prévenant l’apparition d’inflammations.

Conservation:

Pour garder la laitue feuille de chêne bien fraîche, lavez-la minutieusement. Ensuite séchez bien vôtre salade avant de la mettre au réfrigérateur dans le bac à légumes. La laitue feuille de chêne restera ainsi fraîche pour une durée d’environ 4 à 6 jours.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Feuille-de-chene-194e3_uwlpzt.png
